,Fecha,Operador,Detalles de Ruta,Tipo de aeronave accidentada,Pasajeros,Tripulacion,Pasajeros Fallecidos,Tripulantes Fallecidos,Muertos en tierra,Total de personas a bordo
3740,1991-11-20,Military - Soviet Air Force,Na dato,Mil Mi-8 (helicopter),20,3,20,3,0,23
3741,1991-11-25,STASA,Na dato,Douglas C-47B-DK,0,3,0,1,0,3
3742,1991-11-26,Tartarstan Airlines,Nizhnevartovsk - Bugulma,Antonov AN-24,37,4,37,4,0,41
3743,1991-11-29,Military - Força Aérea Brasileira,Brasilla  - Guarantinguerta,Embraer C-95C Bandeirante,13,3,13,3,0,16
3744,1991-12-22,Classic Wings,Frankfurt - Frankfurt,Douglas DC-3A,27,3,24,3,0,30
3745,1991-12-27,Scandinavian Airlines (SAS),Stockholm-Copenhagen-Warsaw,Mc Donnell Douglas MD-81,123,6,0,0,0,129
3746,1991-12-29,China Airlines (Taiwan),Taipei - Anchorage,Boeing B-747-2R7F,0,5,0,5,0,5
3747,1992-01-20,Air Inter,Lyon - Strasbourg,Airbus A320-111,90,6,82,5,0,96
3748,1992-01-28,Military - Azerbaijan Air Force,Agdam - Shusha,Mil Mi-8 (helicopter),0,0,0,0,0,47
3749,1992-02-03,Nordeste Linhas Aéreas,Salvador - Guanambi,Embraer 110C Bandeirante,10,2,10,2,0,12
3750,1992-02-09,Gambcrest,Dakar - Yoff - Cap Skiring,Convair CV- 640,50,6,26,4,0,56
3751,1992-02-15,ATI,Seattle - Toledo,McDonnell Douglas DC-8-63F,0,4,0,3,0,4
3752,1992-02-20,Aerolineas Argentinas,Na dato,Boeing B-747,0,0,0,0,0,0
3753,1992-03-02,Frigorifico Santa Rita,Estencia el Trompillo - La Paz,Curtiss C-46T,2,3,2,3,0,5
3754,1992-03-12,Lina Congo,Dwando - Brazzaville,de Havilland Canada DHC-6 Twin Otter 300,5,3,0,3,0,8
3755,1992-03-22,USAir,New York City - Cleveland,Fokker F-28 Fellowship 4000,47,4,25,2,0,51
3756,1992-03-24,Golden Star Air Cargo,Amsterdam - Athens,Boeing 707-321C,4,3,4,3,0,7
3757,1992-04-04,Kamchatavia,Petropavlovsk -Baikov,Let 410UVP,10,2,1,0,0,12
3758,1992-04-07,Air Bissau,Khartoum - Tunis,Antonov AN-24RV,10,3,0,3,0,13
3759,1992-04-10,Taiwan Airlines,Na dato,Britten Norman BN-2A-26 Trislander,8,2,6,1,0,10
3760,1992-04-14,Military - Kenyan Air Force,Nairobi - Laikipia,de Havilland DHC-5 Buffalo,42,4,42,4,6,46
3761,1992-04-16,Talair,Madang - Goroka,Embraer 110P1 Bandeirante,13,2,9,2,0,15
3762,1992-04-22,Perris Valley Aviation,Local,de Havilland Canada DHC-6 Twin Otter 200,20,2,14,2,0,22
3763,1992-04-22,Scenic Air Tours,Local sightseeing,Beechcraft E18S,8,1,8,1,0,9
3764,1992-04-26,Saha Airline Services,Bandar Manshahr  - Tehran,Fokker F-27 Friendship 400M,35,4,35,4,0,39
3765,1992-06-06,COPA (Panama),"Panama City, Panama - Cali, Colombia",Boeing B-737-204,40,7,40,7,0,47
3766,1992-06-07,American Eagle,San Juan - Mayaguez,CASA 212 Aviocar 200,3,2,3,2,0,5
3767,1992-06-22,VASP,Rio Branc - Cruzeiro do Sul,Boeing 737-2A1C,1,2,1,2,0,3
3768,1992-06-22,Krasnoyarsk Airlines,Igarka - Omsk,Antonov AN-12,7,5,6,4,0,12
3769,1992-07-05,Military - Sri Lanka Air Force,Colombo - Jaffna,Shaanxi Y-8D,13,6,13,6,0,19
3770,1992-07-13,Arctic Circle Air Service,Bethel - Chevak,Shorts SC-7 Skyvan 3A-200,0,1,0,1,0,1
3771,1992-07-14,Military - Russian Air Force,Nakhichevan - Rostov,Antonov AN-12V,27,7,24,5,0,34
3772,1992-07-14,Military - Unified Yemen Air Force,Nakhichevan - Rostov,Antonov An-12,50,7,50,7,0,57
3773,1992-07-20,Georgian Air,Tbilisi - Mineralnye Vody,Tupolev TU-154B,16,8,16,8,4,24
3774,1992-07-24,Volga-Dnepr Airlines,Na dato,Antonov 12BK,2,6,2,6,0,8
3775,1992-07-24,Mandala Airlines,Jakarta - Surabaya - Ujung Pandang - Ambon,Vickers Viscount 816,63,7,63,7,0,70
3776,1992-07-27,Aero Eslava,Puebla - Mexico City,Vickers 798D Viscount,2,2,2,2,0,4
3777,1992-07-30,Trans World Airlines,New York City - San Francisco,Lockheed L-1011,280,12,0,0,0,292
3778,1992-07-31,Thai Airways,Bangkok - Kathmandu,Airbus A310-304,99,14,99,14,0,113
3779,1992-07-31,China General Aviation Corporation,Nanjing - Xiamen,Yakovlev YAK-42D,116,10,100,8,0,126
3780,1992-08-21,Servicios Aereos Santa Ana,La Paz - Santa Ana de Yacuma,Convair CV-440-80,7,3,7,3,0,10
3781,1992-08-25,Lone Star Airlines,Test,Swearingen SA-227AC Metro III,0,3,0,3,0,3
3782,1992-08-27,Military - Peruvian Air Force - TANS,Estrecho - Iquitos,de Havilland Canada DHC-6 Twin Otter 300,38,3,6,2,0,41
3783,1992-08-27,NewCal Aviation,Test,de Havilland Canada DHC-4T Caribou,0,3,0,3,0,3
3784,1992-08-27,Aeroflot,Donetsk - Ivanovo,Tupolev TU-134A,77,7,77,7,0,84
3785,1992-08-31,Professional Aviation Services,Jamba - Pretoria,Douglas DC-3,14,3,0,3,0,17
3786,1992-09-10,Expresso Aéreo,Tarapoto - Bellavista,Fokker F-27 Friendship 500,36,7,0,1,1,43
3787,1992-09-12,Kamchatka Airlines,Na dato,Mil Mi-8 (helicopter),13,3,9,0,0,16
3788,1992-09-16,Air Taxi - Hawaii Helicopters Inc.,Sightseeing,Aerospatiale AS-350B,6,1,6,1,0,7
3789,1992-09-18,Aero Ejecutivos,Curacao - Miami,Douglas C-118A,0,3,0,3,0,3
3790,1992-09-19,Avesca Colombia,Villavicencio - Mitu,Curtiss C-46F-1-CU,9,2,9,2,0,11
3791,1992-09-21,Yakutavia,Na dato,Mil Mi-8 (helicopter),7,3,7,3,0,10
3792,1992-09-26,Military - Federal Nigerian Air Force,Lagos - Kaduna,Lockheed C-130H,154,4,154,4,0,158
3793,1992-09-28,Pakistan International Airlines,Karachi - Kathmandu,Airbus A300B4-203,155,12,155,12,0,167
3794,1992-10-04,El Al,Amsterdam - Tel Aviv,Boeing B-747-258F,1,3,1,3,39,4
3795,1992-10-07,Miltiary - U.S. Airforce,Training,Lockheed C-130E Hercules,0,6,0,6,0,6
3796,1992-10-08,Wuhan Airlines,Lanzhou - Xi'an,Avia 14M-40,28,7,9,5,0,35
3797,1992-10-09,Kiev Production Association,Na dato,Antonov 32,7,6,0,1,0,13
3798,1992-10-18,Merpati Nusantara Airlines,Semarang - Bandung,CASA 235-10,27,4,27,4,0,31
3799,1992-10-19,Syktyvkar Avia,Ust'-Him - 	Syktyvkar,Antonov AN-28,14,2,13,2,0,16
3800,1992-10-21,Military - Peruvian Air Force,Na dato,de Havilland Canada DHC-6 Twin Otter 300,8,3,7,1,0,11
3801,1992-10-29,Aeroflot,Petropavlovsk - Novosobrisk,Antonov AN-8,9,5,8,5,0,14
3802,1992-11-11,Military - Indian Air Force,Na dato,Mil Mi-8 (helicopter),0,0,0,0,0,20
3803,1992-11-11,Military - Russian Air Force,Migalovo AB - Yerevan,Antonov AN-22A,26,7,26,7,0,33
3804,1992-11-14,Vietnam Airlines,Ho Chi Minh City - Nha Trang,Yakovlev YAK-40,25,6,24,6,0,31
3805,1992-11-15,Aerocaribbean - Charter,Santo Domingo - Porto Plata,Ilyushin IL-18D,28,6,28,6,0,34
